"","X","pitcher_name"
"587",587,"Brendan Donnelly"
"588",588,"Lance Broadway"
"589",589,"Charlie Zink"
"590",590,"Francisley Bueno"
"591",591,"Chad Reineke"
"592",592,"Matt Palmer"
"593",593,"Matt DeSalvo"
"594",594,"Ryan Feierabend"
"595",595,"Juan Salas"
"596",596,"Tanyon Sturtze"
"597",597,"Kameron Mickolio"
"598",598,"Marco Estrada"
"599",599,"Brandon McCarthy"
"600",600,"Carl Pavano"
"601",601,"Dirk Hayhurst"
"602",602,"Brandon Duckworth"
"603",603,"Randy Messenger"
"604",604,"Chris Lambert"
"605",605,"Jesse Chavez"
"606",606,"Andrew Carpenter"
"607",607,"Bill White"
"608",608,"Elmer Dessens"
"609",609,"Scott Elbert"
"610",610,"Michael Bowden"
"611",611,"Joshua Geer"
"612",612,"Ramon A. Ramirez"
"613",613,"Alfredo Aceves"
"614",614,"Jim Miller"
"615",615,"Phil Coke"
"616",616,"Justin Thomas"
"617",617,"Angel Guzman"
"618",618,"Jonathon Niese"
"619",619,"Josh Outman"
"620",620,"Levale Speigner"
"621",621,"Michael Hinckley"
"622",622,"Rich Rundles"
"623",623,"Wade LeBlanc"
"624",624,"Jason Hirsh"
"625",625,"Jason Motte"
"626",626,"Philip Humber"
"627",627,"James Parr"
"628",628,"Shairon Martis"
"629",629,"Devon Lowery"
"630",630,"Ricardo Rincon"
"631",631,"Alfredo Simon"
"632",632,"Kevin Jepsen"
"633",633,"Jeff Gray"
"634",634,"Jon Adkins"
"635",635,"Josh Kinney"
"636",636,"Scott Lewis"
"637",637,"Mike Ekstrom"
"638",638,"Josh Roenicke"
"639",639,"John Meloan"
"640",640,"Bryan Bullington"
"641",641,"Jose Mijares"
"642",642,"Charlie Haeger"
"643",643,"Devern Hansack"
"644",644,"Adam Pettyjohn"
"645",645,"David Price"
"646",646,"Mitch Talbot"
"647",647,"Robert Parnell"
"648",648,"Freddy Garcia"
"649",649,"Brian Gordon"
"650",650,"Jesus Delgado"
"651",651,"James McDonald"
"652",652,"Humberto Sanchez"
"653",653,"Luke Gregerson"
"654",654,"Chris Ray"
"655",655,"Andrew Bailey"
"656",656,"Juan Gutierrez"
"657",657,"Edwin Moreno"
"658",658,"Ronald Belisario"
"659",659,"Joe Martinez"
"660",660,"Trevor Cahill"
"661",661,"Donald Veal"
"662",662,"Russ Ortiz"
"663",663,"David Patton"
"664",664,"Ryan Perry"
"665",665,"Walter Silva"
"666",666,"Koji Uehara"
"667",667,"Danys Baez"
"668",668,"Chris Jakubauskas"
"669",669,"Ricky Romero"
"670",670,"Rick Porcello"
"671",671,"Brian Duensing"
"672",672,"Brett Anderson"
"673",673,"Shawn Kelley"
"674",674,"Kris Benson"
"675",675,"Hayden Penn"
"676",676,"Kenshin Kawakami"
"677",677,"Nick Swisher"
"678",678,"Rafael Rodriguez"
"679",679,"Willie Eyre"
"680",680,"Luis Perdomo"
"681",681,"Bill Murphy"
"682",682,"Sean White"
"683",683,"P.J. Walters"
"684",684,"Anthony Claggett"
"685",685,"Daniel Davidson"
"686",686,"Felipe Paulino"
"687",687,"Jordan Zimmermann"
"688",688,"Hunter Jones"
"689",689,"Bradley Bergesen"
"690",690,"Jack Egbert"
"691",691,"Tony Sipp"
"692",692,"Derek Holland"
"693",693,"Matt Daley"
"694",694,"Anthony Ortega"
"695",695,"Mark Melancon"
"696",696,"Graham Taylor"
"697",697,"Cody Ross"
"698",698,"Esmerling Vasquez"
"699",699,"Arturo Lopez"
"700",700,"Jonathan Van Every"
"701",701,"Jeff Weaver"
"702",702,"Fernando Rodriguez"
"703",703,"Robert Ray"
"704",704,"Ken Takahashi"
"705",705,"Denny Stark"
"706",706,"Jason Vargas"
"707",707,"Brett Cecil"
"708",708,"Paul Janish"
"709",709,"Brent Leach"
"710",710,"Josh Wilson"
"711",711,"John Koronka"
"712",712,"Carlos Martinez"
"713",713,"Daniel Bard"
"714",714,"Bryan Augenstein"
"715",715,"Luke French"
"716",716,"Greg Burke"
"717",717,"Eric Milton"
"718",718,"David Huff"
"719",719,"Sergio Escalona"
"720",720,"Ross Detwiler"
"721",721,"Clay Zavada"
"722",722,"Cristhian Martinez"
"723",723,"Kris Medlen"
"724",724,"Craig Stammen"
"725",725,"David Davidson"
"726",726,"Dale Thayer"
"727",727,"Ross Gload"
"728",728,"Anthony Swarzak"
"729",729,"Sean West"
"730",730,"Casey Janssen"
"731",731,"Carlos Fisher"
"732",732,"Roman Colon"
"733",733,"Randy Choate"
"734",734,"Christopher Leroux"
"735",735,"Jason Berken"
"736",736,"David Hernandez"
"737",737,"Daniel Schlereth"
"738",738,"Tomo Ohka"
"739",739,"Guillermo Moscoso"
"740",740,"Jason Waddell"
"741",741,"Steven Jackson"
"742",742,"Mike Burns"
"743",743,"Vincent Mazzaro"
"744",744,"Wes Whisler"
"745",745,"Antonio Bastardo"
"746",746,"Jesse Todd"
"747",747,"Kelvim Escobar"
"748",748,"Matthew Maloney"
"749",749,"Blake Hawksworth"
"750",750,"Tommy Hanson"
"751",751,"Travis Schlichting"
"752",752,"Aaron Poreda"
"753",753,"Jon Switzer"
"754",754,"Chris Narveson"
"755",755,"Sean O'Sullivan"
"756",756,"Winston Abreu"
"757",757,"Brad Mills"
"758",758,"Alfredo Figaro"
"759",759,"Mike Gosling"
"760",760,"Tim Wood"
"761",761,"Virgil Vasquez"
"762",762,"Bruce Chen"
"763",763,"Bob Keppel"
"764",764,"Ryan Sadowski"
"765",765,"Fu-Te Ni"
"766",766,"Clayton Mortensen"
"767",767,"Rodrigo Lopez"
"768",768,"Marc Rzepczynski"
"769",769,"Ryan Webb"
"770",770,"Robert Manuel"
"771",771,"Jeff Stevens"
"772",772,"Tim Stauffer"
"773",773,"Jairo Asencio"
"774",774,"Mat Latos"
"775",775,"Jason Schmidt"
"776",776,"Kevin Mulvey"
"777",777,"J.D. Martin"
"778",778,"Sergio Mitre"
"779",779,"Carlos Torres"
"780",780,"Robert Mosebach"
"781",781,"Jhoulys Chacin"
"782",782,"Casey Fien"
"783",783,"Mark Loretta"
"784",784,"Randy Williams"
"785",785,"Bud Norris"
"786",786,"Mitch Atkins"
"787",787,"Chris Tillman"
"788",788,"Justin Lehr"
"789",789,"Jhonny Nunez"
"790",790,"Neftali Feliz"
"791",791,"Brian Matusz"
"792",792,"Waldis Joaquin"
"793",793,"Junichi Tazawa"
"794",794,"Douglas Fister"
"795",795,"Esmailin Caridad"
"796",796,"Jay Marshall"
"797",797,"Trevor Bell"
"798",798,"Justin Berg"
"799",799,"Cesar Carrillo"
"800",800,"Samuel Gervacio"
"801",801,"Jeff Manship"
"802",802,"Armando Gabino"
"803",803,"Nick Green"
"804",804,"Wilton Lopez"
